title,description,price,type,file_url
CodeVault,"Secure code repository and version control",29.99,app,/uploads/codevault.zip
DesignStudio,"Professional design and editing tools",39.99,app,/uploads/design-studio.zip
TaskMaster,"Advanced project and task management",19.99,app,/uploads/taskmaster.zip
SecureShield,"Comprehensive security and antivirus suite",24.99,app,/uploads/secureshield.zip
Neon Dreams,"Synthwave ambient electronic music track",0.99,music,
Digital Rain,"Ambient atmospheric soundscape",0.99,music,
Electric Pulse,"High-energy electronic dance track",0.99,music,
Neon City,"4K Cyberpunk Digital Art - Urban Scene",9.99,art,/uploads/neon-city.png
Digital Sunset,"8K Abstract Gradient Artwork",12.99,art,/uploads/digital-sunset.png
Cyber Portal,"4K Digital Portal Illustration",8.99,art,/uploads/cyber-portal.png
